model_name,rmsd
afm_basic_model_2_multimer_v3_pred_64.pdb,2.85
afm_basic_model_4_multimer_v2_pred_59.pdb,2.85
afm_dropout_full_model_5_multimer_v3_pred_3.pdb,2.849
afm_dropout_full_model_1_multimer_v2_pred_7.pdb,2.849
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_59.pdb,2.849
afm_basic_model_5_multimer_v2_pred_33.pdb,2.849
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_61.pdb,2.849
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_52.pdb,2.849
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_35.pdb,2.849
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_60.pdb,2.849
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_38.pdb,2.848
afm_dropout_full_model_3_multimer_v2_pred_34.pdb,2.848
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_10.pdb,2.848
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_64.pdb,2.848
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_11.pdb,2.848
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_45.pdb,2.848
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_41.pdb,2.848
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_63.pdb,2.848
afm_dropout_full_model_5_multimer_v2_pred_64.pdb,2.848
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_20.pdb,2.848
afm_woTemplates_model_4_multimer_v2_pred_28.pdb,2.848
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_49.pdb,2.848
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_3.pdb,2.847
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_27.pdb,2.847
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_48.pdb,2.847
afm_basic_model_3_multimer_v2_pred_26.pdb,2.847
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_23.pdb,2.847
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_34.pdb,2.847
afm_dropout_full_model_5_multimer_v2_pred_34.pdb,2.847
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_27.pdb,2.847
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_49.pdb,2.847
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_9.pdb,2.847
afm_woTemplates_model_3_multimer_v3_pred_38.pdb,2.847
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_61.pdb,2.846
cf_woTemplates_model_3_multimer_v3_pred_12.pdb,2.846
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_3.pdb,2.846
afm_basic_model_5_multimer_v2_pred_59.pdb,2.846
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_5.pdb,2.846
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_0.pdb,2.846
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_57.pdb,2.846
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_16.pdb,2.846
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_60.pdb,2.846
afm_dropout_full_model_5_multimer_v2_pred_61.pdb,2.846
afm_dropout_full_model_5_multimer_v2_pred_35.pdb,2.846
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_24.pdb,2.846
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_37.pdb,2.846
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_12.pdb,2.846
afm_woTemplates_model_5_multimer_v2_pred_23.pdb,2.845
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_40.pdb,2.845
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_45.pdb,2.845
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_25.pdb,2.845
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_7.pdb,2.845
afm_basic_model_5_multimer_v3_pred_20.pdb,2.845
afm_basic_model_5_multimer_v3_pred_46.pdb,2.845
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_24.pdb,2.845
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_48.pdb,2.845
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_27.pdb,2.845
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_36.pdb,2.845
afm_dropout_full_model_1_multimer_v2_pred_50.pdb,2.845
afm_woTemplates_model_1_multimer_v2_pred_26.pdb,2.845
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_39.pdb,2.845
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_26.pdb,2.845
afm_dropout_full_model_5_multimer_v2_pred_9.pdb,2.844
afm_dropout_full_woTemplates_model_5_multimer_v3_pred_26.pdb,2.844
afm_woTemplates_model_4_multimer_v2_pred_3.pdb,2.844
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_47.pdb,2.844
afm_dropout_full_model_5_multimer_v2_pred_28.pdb,2.844
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_23.pdb,2.844
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_31.pdb,2.844
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_35.pdb,2.844
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_14.pdb,2.844
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_52.pdb,2.844
afm_woTemplates_model_4_multimer_v2_pred_59.pdb,2.844
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_41.pdb,2.844
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_66.pdb,2.844
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_1.pdb,2.843
afm_basic_model_4_multimer_v2_pred_9.pdb,2.843
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_32.pdb,2.843
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_25.pdb,2.843
afm_woTemplates_model_3_multimer_v3_pred_50.pdb,2.843
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_33.pdb,2.843
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_32.pdb,2.843
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_26.pdb,2.843
cf_woTemplates_model_5_multimer_v1_pred_60.pdb,2.843
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_15.pdb,2.843
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_43.pdb,2.843
afm_woTemplates_model_4_multimer_v2_pred_58.pdb,2.843
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_50.pdb,2.842
afm_woTemplates_model_2_multimer_v3_pred_56.pdb,2.842
afm_dropout_full_model_1_multimer_v3_pred_6.pdb,2.842
afm_dropout_full_woTemplates_r3_model_1_multimer_v3_pred_26.pdb,2.842
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_11.pdb,2.842
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_8.pdb,2.842
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_1.pdb,2.842
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_3.pdb,2.842
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_46.pdb,2.842
afm_dropout_full_model_5_multimer_v3_pred_19.pdb,2.842
afm_basic_model_5_multimer_v2_pred_24.pdb,2.842
afm_dropout_full_woTemplates_r3_model_5_multimer_v2_pred_24.pdb,2.841
afm_woTemplates_model_2_multimer_v3_pred_57.pdb,2.841
afm_dropout_full_woTemplates_r3_model_1_multimer_v3_pred_3.pdb,2.841
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_25.pdb,2.841
afm_basic_model_5_multimer_v2_pred_41.pdb,2.841
afm_basic_model_5_multimer_v2_pred_40.pdb,2.84
cf_woTemplates_model_3_multimer_v3_pred_19.pdb,2.84
afm_dropout_full_model_3_multimer_v3_pred_50.pdb,2.84
afm_woTemplates_model_3_multimer_v3_pred_35.pdb,2.84
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_30.pdb,2.84
afm_dropout_full_model_4_multimer_v2_pred_17.pdb,2.84
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_16.pdb,2.84
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_31.pdb,2.84
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_36.pdb,2.84
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_36.pdb,2.84
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_26.pdb,2.84
afm_dropout_full_model_5_multimer_v3_pred_58.pdb,2.84
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_35.pdb,2.84
afm_woTemplates_model_4_multimer_v2_pred_36.pdb,2.84
afm_dropout_full_model_4_multimer_v2_pred_31.pdb,2.839
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_25.pdb,2.839
afm_dropout_full_model_2_multimer_v3_pred_45.pdb,2.839
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_3.pdb,2.839
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_63.pdb,2.839
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_62.pdb,2.839
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_1.pdb,2.839
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_44.pdb,2.839
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_58.pdb,2.839
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_11.pdb,2.839
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_14.pdb,2.838
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_22.pdb,2.838
afm_woTemplates_model_5_multimer_v3_pred_52.pdb,2.838
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_25.pdb,2.838
afm_woTemplates_model_1_multimer_v3_pred_65.pdb,2.838
afm_dropout_full_model_5_multimer_v3_pred_41.pdb,2.838
afm_basic_model_5_multimer_v2_pred_30.pdb,2.838
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_4.pdb,2.838
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_42.pdb,2.838
cf_dropout_full_woTemplates_model_1_multimer_v2_pred_56.pdb,2.838
afm_woTemplates_model_4_multimer_v2_pred_47.pdb,2.837
afm_basic_model_5_multimer_v2_pred_48.pdb,2.837
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_2.pdb,2.837
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_38.pdb,2.837
afm_woTemplates_model_3_multimer_v3_pred_18.pdb,2.837
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_18.pdb,2.837
afm_woTemplates_model_3_multimer_v3_pred_40.pdb,2.837
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_60.pdb,2.837
afm_dropout_full_model_4_multimer_v2_pred_26.pdb,2.836
afm_dropout_full_model_5_multimer_v3_pred_25.pdb,2.836
afm_dropout_full_model_1_multimer_v2_pred_0.pdb,2.836
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_14.pdb,2.836
afm_dropout_full_model_5_multimer_v2_pred_19.pdb,2.836
afm_basic_model_5_multimer_v2_pred_43.pdb,2.836
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_46.pdb,2.836
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_43.pdb,2.836
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_63.pdb,2.836
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_24.pdb,2.836
afm_dropout_full_model_4_multimer_v2_pred_49.pdb,2.836
afm_dropout_full_woTemplates_r3_model_3_multimer_v2_pred_38.pdb,2.835
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_28.pdb,2.835
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_65.pdb,2.835
afm_woTemplates_model_1_multimer_v3_pred_8.pdb,2.835
afm_basic_model_5_multimer_v2_pred_64.pdb,2.835
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_9.pdb,2.835
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_3.pdb,2.835
afm_dropout_full_model_5_multimer_v2_pred_12.pdb,2.835
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_62.pdb,2.835
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_57.pdb,2.835
afm_basic_model_5_multimer_v2_pred_29.pdb,2.835
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_16.pdb,2.835
afm_dropout_full_model_1_multimer_v3_pred_18.pdb,2.835
afm_basic_model_5_multimer_v2_pred_22.pdb,2.835
afm_dropout_full_model_3_multimer_v3_pred_9.pdb,2.834
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_61.pdb,2.834
cf_woTemplates_model_1_multimer_v2_pred_23.pdb,2.834
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_3.pdb,2.834
afm_dropout_full_model_4_multimer_v2_pred_43.pdb,2.834
afm_basic_model_4_multimer_v2_pred_53.pdb,2.833
afm_dropout_full_model_5_multimer_v3_pred_34.pdb,2.833
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_26.pdb,2.833
cf_dropout_full_woTemplates_model_2_multimer_v1_pred_64.pdb,2.833
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_50.pdb,2.833
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_29.pdb,2.833
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_35.pdb,2.833
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_31.pdb,2.833
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_53.pdb,2.833
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_52.pdb,2.833
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_15.pdb,2.833
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_18.pdb,2.833
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_63.pdb,2.833
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_34.pdb,2.832
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_64.pdb,2.832
afm_woTemplates_model_2_multimer_v3_pred_21.pdb,2.832
afm_dropout_full_woTemplates_r3_model_1_multimer_v2_pred_60.pdb,2.832
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_66.pdb,2.832
afm_woTemplates_model_4_multimer_v2_pred_11.pdb,2.832
cf_woTemplates_model_1_multimer_v3_pred_3.pdb,2.832
afm_dropout_full_model_5_multimer_v2_pred_23.pdb,2.832
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_6.pdb,2.832
afm_dropout_full_model_3_multimer_v3_pred_31.pdb,2.832
afm_woTemplates_model_4_multimer_v2_pred_64.pdb,2.832
afm_dropout_full_woTemplates_r3_model_1_multimer_v3_pred_56.pdb,2.831
afm_dropout_full_model_2_multimer_v3_pred_29.pdb,2.831
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_8.pdb,2.831
afm_dropout_full_model_1_multimer_v3_pred_19.pdb,2.831
afm_dropout_full_model_4_multimer_v2_pred_10.pdb,2.831
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_29.pdb,2.831
afm_basic_model_3_multimer_v2_pred_53.pdb,2.831
cf_woTemplates_model_4_multimer_v3_pred_54.pdb,2.831
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_27.pdb,2.831
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_16.pdb,2.831
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_10.pdb,2.831
afm_woTemplates_model_3_multimer_v3_pred_52.pdb,2.831
afm_woTemplates_model_2_multimer_v2_pred_0.pdb,2.831
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_51.pdb,2.831
afm_woTemplates_model_4_multimer_v3_pred_36.pdb,2.831
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_51.pdb,2.831
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_29.pdb,2.831
afm_dropout_full_woTemplates_model_4_multimer_v3_pred_51.pdb,2.831
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_19.pdb,2.83
afm_dropout_full_model_5_multimer_v3_pred_24.pdb,2.83
afm_basic_model_4_multimer_v2_pred_41.pdb,2.83
afm_woTemplates_model_1_multimer_v3_pred_27.pdb,2.83
afm_dropout_full_model_3_multimer_v3_pred_21.pdb,2.83
afm_basic_model_3_multimer_v2_pred_32.pdb,2.83
afm_dropout_full_model_5_multimer_v2_pred_10.pdb,2.83
afm_woTemplates_model_4_multimer_v3_pred_46.pdb,2.83
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_17.pdb,2.83
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_27.pdb,2.829
afm_dropout_full_model_4_multimer_v2_pred_4.pdb,2.829
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_19.pdb,2.829
afm_dropout_full_model_1_multimer_v3_pred_47.pdb,2.829
afm_basic_model_5_multimer_v2_pred_25.pdb,2.829
afm_woTemplates_model_4_multimer_v2_pred_7.pdb,2.829
afm_woTemplates_model_3_multimer_v3_pred_54.pdb,2.829
cf_woTemplates_model_3_multimer_v2_pred_48.pdb,2.829
afm_woTemplates_model_4_multimer_v2_pred_57.pdb,2.829
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_51.pdb,2.829
afm_dropout_full_model_5_multimer_v3_pred_30.pdb,2.828
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_1.pdb,2.828
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_11.pdb,2.828
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_39.pdb,2.828
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_22.pdb,2.828
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_52.pdb,2.828
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_21.pdb,2.828
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_26.pdb,2.827
afm_woTemplates_model_1_multimer_v3_pred_25.pdb,2.827
afm_dropout_noSM_woTemplates_model_1_multimer_v2_pred_25.pdb,2.827
afm_dropout_full_woTemplates_model_1_multimer_v2_pred_39.pdb,2.827
afm_basic_model_4_multimer_v2_pred_52.pdb,2.827
afm_woTemplates_model_5_multimer_v3_pred_45.pdb,2.827
afm_dropout_full_model_4_multimer_v2_pred_51.pdb,2.827
afm_basic_model_4_multimer_v2_pred_10.pdb,2.827
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_38.pdb,2.827
afm_woTemplates_model_4_multimer_v2_pred_17.pdb,2.826
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_13.pdb,2.826
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_51.pdb,2.826
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_41.pdb,2.826
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_38.pdb,2.826
afm_woTemplates_model_3_multimer_v3_pred_39.pdb,2.826
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_66.pdb,2.826
afm_dropout_full_model_1_multimer_v2_pred_33.pdb,2.826
afm_woTemplates_model_2_multimer_v3_pred_62.pdb,2.826
afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_32.pdb,2.826
cf_dropout_full_woTemplates_model_4_multimer_v2_pred_26.pdb,2.825
cf_woTemplates_model_5_multimer_v2_pred_58.pdb,2.825
afm_basic_model_1_multimer_v3_pred_48.pdb,2.825
afm_basic_model_5_multimer_v2_pred_50.pdb,2.825
afm_basic_model_5_multimer_v2_pred_4.pdb,2.825
afm_dropout_full_woTemplates_r3_model_4_multimer_v3_pred_39.pdb,2.824
afm_woTemplates_model_3_multimer_v3_pred_10.pdb,2.824
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_55.pdb,2.824
afm_dropout_full_model_3_multimer_v2_pred_66.pdb,2.824
afm_woTemplates_model_5_multimer_v3_pred_62.pdb,2.824
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_30.pdb,2.824
afm_basic_model_2_multimer_v2_pred_14.pdb,2.824
afm_dropout_full_model_3_multimer_v3_pred_18.pdb,2.824
afm_basic_model_5_multimer_v2_pred_13.pdb,2.824
afm_dropout_full_model_3_multimer_v2_pred_31.pdb,2.824
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_46.pdb,2.824
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_65.pdb,2.823
afm_woTemplates_model_2_multimer_v3_pred_7.pdb,2.823
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_40.pdb,2.823
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_10.pdb,2.823
afm_dropout_full_woTemplates_r3_model_2_multimer_v3_pred_6.pdb,2.823
afm_dropout_full_model_4_multimer_v3_pred_53.pdb,2.823
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_21.pdb,2.823
afm_dropout_full_model_4_multimer_v2_pred_53.pdb,2.823
afm_dropout_noSM_woTemplates_model_4_multimer_v2_pred_56.pdb,2.823
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_43.pdb,2.823
afm_dropout_full_model_4_multimer_v2_pred_7.pdb,2.823
cf_woTemplates_model_1_multimer_v1_pred_31.pdb,2.823
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_43.pdb,2.823
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_56.pdb,2.822
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_57.pdb,2.822
afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_59.pdb,2.822
afm_woTemplates_model_5_multimer_v2_pred_43.pdb,2.822
afm_woTemplates_model_5_multimer_v2_pred_12.pdb,2.822
afm_dropout_full_woTemplates_r3_model_5_multimer_v3_pred_9.pdb,2.822
afm_dropout_full_model_4_multimer_v2_pred_28.pdb,2.821
cf_dropout_full_woTemplates_model_1_multimer_v3_pred_16.pdb,2.821
afm_dropout_full_woTemplates_r3_model_2_multimer_v1_pred_38.pdb,2.821
afm_basic_model_5_multimer_v2_pred_42.pdb,2.821
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_51.pdb,2.821
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_19.pdb,2.821
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_59.pdb,2.821
afm_dropout_full_woTemplates_model_2_multimer_v2_pred_27.pdb,2.821
afm_dropout_noSM_woTemplates_model_5_multimer_v2_pred_5.pdb,2.82
afm_basic_model_4_multimer_v2_pred_57.pdb,2.82
afm_dropout_noSM_woTemplates_model_3_multimer_v3_pred_39.pdb,2.82
afm_dropout_full_model_4_multimer_v2_pred_64.pdb,2.82
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_64.pdb,2.82
afm_dropout_full_model_3_multimer_v3_pred_61.pdb,2.82
afm_basic_model_4_multimer_v2_pred_21.pdb,2.82
afm_dropout_full_model_5_multimer_v2_pred_1.pdb,2.82
afm_woTemplates_model_3_multimer_v3_pred_21.pdb,2.819
afm_dropout_full_model_3_multimer_v2_pred_53.pdb,2.819
afm_woTemplates_model_4_multimer_v2_pred_1.pdb,2.819
afm_basic_model_3_multimer_v3_pred_14.pdb,2.819
cf_woTemplates_model_4_multimer_v2_pred_42.pdb,2.819
afm_dropout_full_model_5_multimer_v3_pred_26.pdb,2.819
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_43.pdb,2.819
afm_dropout_full_woTemplates_model_2_multimer_v3_pred_55.pdb,2.819
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_59.pdb,2.819
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_0.pdb,2.819
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_48.pdb,2.819
afm_woTemplates_model_2_multimer_v3_pred_35.pdb,2.819
afm_dropout_full_woTemplates_model_3_multimer_v3_pred_18.pdb,2.818
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_11.pdb,2.818
afm_dropout_full_woTemplates_r3_model_1_multimer_v3_pred_63.pdb,2.818
afm_dropout_full_woTemplates_r3_model_4_multimer_v2_pred_10.pdb,2.818
afm_dropout_full_woTemplates_r3_model_1_multimer_v3_pred_47.pdb,2.818
afm_woTemplates_model_5_multimer_v2_pred_54.pdb,2.818
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_44.pdb,2.818
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_56.pdb,2.818
cf_woTemplates_model_3_multimer_v3_pred_9.pdb,2.818
cf_dropout_full_woTemplates_model_4_multimer_v3_pred_54.pdb,2.818
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_48.pdb,2.818
afm_dropout_full_model_3_multimer_v3_pred_26.pdb,2.818
afm_basic_model_1_multimer_v2_pred_26.pdb,2.818
afm_dropout_full_woTemplates_model_1_multimer_v3_pred_36.pdb,2.818
afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_26.pdb,2.818
afm_basic_model_4_multimer_v2_pred_22.pdb,2.817
afm_dropout_full_woTemplates_r3_model_3_multimer_v3_pred_35.pdb,2.817
afm_dropout_full_woTemplates_model_4_multimer_v2_pred_22.pdb,2.817
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_20.pdb,2.817
afm_dropout_noSM_woTemplates_model_2_multimer_v3_pred_48.pdb,2.817
afm_dropout_noSM_woTemplates_model_3_multimer_v2_pred_4.pdb,2.817
cf_dropout_full_woTemplates_model_5_multimer_v2_pred_61.pdb,2.817
afm_dropout_full_woTemplates_model_3_multimer_v2_pred_48.pdb,2.817
afm_basic_model_4_multimer_v2_pred_17.pdb,2.817
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_31.pdb,2.817
afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_31.pdb,2.817
afm_dropout_full_model_4_multimer_v2_pred_27.pdb,2.817
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_4.pdb,2.817
afm_woTemplates_model_4_multimer_v2_pred_63.pdb,2.817
afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_40.pdb,2.816
afm_woTemplates_model_5_multimer_v2_pred_28.pdb,2.816
afm_dropout_full_woTemplates_model_5_multimer_v2_pred_57.pdb,2.816
cf_dropout_full_woTemplates_model_3_multimer_v3_pred_26.pdb,2.816
