model_name,ics
afm_woTemplates_model_3_multimer_v1_pred_2.pdb,0.002
afm_woTemplates_model_3_multimer_v1_pred_0.pdb,0.002
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_3.pdb,0.002
afm_dropout_full_model_3_multimer_v1_pred_4.pdb,0.002
afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_0.pdb,0.002
afm_dropout_full_model_3_multimer_v1_pred_0.pdb,0.002
afm_woTemplates_model_2_multimer_v1_pred_3.pdb,0.002
afm_woTemplates_model_2_multimer_v1_pred_1.pdb,0.002
cf_woTemplates_model_2_multimer_v1_pred_2.pdb,0.002
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_3.pdb,0.002
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_1.pdb,0.002
afm_basic_model_2_multimer_v1_pred_2.pdb,0.002
afm_dropout_full_model_3_multimer_v1_pred_2.pdb,0.002
afm_dropout_full_woTemplates_model_2_multimer_v1_pred_0.pdb,0.002
cf_dropout_full_woTemplates_model_3_multimer_v1_pred_0.pdb,0.002
afm_woTemplates_model_3_multimer_v1_pred_1.pdb,0.002
afm_dropout_full_model_2_multimer_v1_pred_2.pdb,0.002
afm_basic_model_2_multimer_v1_pred_4.pdb,0.002
afm_basic_model_5_multimer_v1_pred_3.pdb,0.001
afm_woTemplates_model_4_multimer_v1_pred_1.pdb,0.001
afm_woTemplates_model_4_multimer_v1_pred_2.pdb,0.001
afm_dropout_full_model_5_multimer_v1_pred_3.pdb,0.001
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_2.pdb,0.001
afm_dropout_full_model_4_multimer_v1_pred_1.pdb,0.001
afm_basic_model_4_multimer_v1_pred_3.pdb,0.001
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_3.pdb,0.001
afm_dropout_noSM_woTemplates_model_2_multimer_v1_pred_2.pdb,0.001
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_0.pdb,0.001
afm_woTemplates_model_3_multimer_v1_pred_4.pdb,0.001
afm_woTemplates_model_5_multimer_v1_pred_1.pdb,0.001
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_4.pdb,0.001
afm_basic_model_5_multimer_v1_pred_0.pdb,0.001
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_1.pdb,0.001
afm_dropout_full_model_4_multimer_v1_pred_2.pdb,0.001
cf_woTemplates_model_4_multimer_v1_pred_3.pdb,0.001
cf_woTemplates_model_4_multimer_v1_pred_0.pdb,0.001
afm_woTemplates_model_3_multimer_v1_pred_3.pdb,0.001
afm_woTemplates_model_5_multimer_v1_pred_0.pdb,0.001
afm_woTemplates_model_4_multimer_v1_pred_0.pdb,0.001
afm_dropout_full_model_4_multimer_v1_pred_3.pdb,0.001
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_1.pdb,0.001
afm_woTemplates_model_4_multimer_v1_pred_4.pdb,0.001
afm_basic_model_4_multimer_v1_pred_4.pdb,0.001
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_2.pdb,0.001
afm_dropout_full_model_4_multimer_v1_pred_0.pdb,0.001
afm_dropout_full_model_5_multimer_v1_pred_4.pdb,0.001
afm_woTemplates_model_5_multimer_v1_pred_2.pdb,0.001
afm_dropout_full_woTemplates_model_5_multimer_v1_pred_4.pdb,0.001
afm_dropout_full_woTemplates_model_4_multimer_v1_pred_0.pdb,0.001
afm_dropout_full_model_5_multimer_v1_pred_2.pdb,0.001
cf_woTemplates_model_4_multimer_v1_pred_4.pdb,0.001
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_0.pdb,0.001
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_1.pdb,0.001
afm_dropout_full_model_5_multimer_v1_pred_1.pdb,0.001
cf_dropout_full_woTemplates_model_4_multimer_v1_pred_4.pdb,0.001
cf_woTemplates_model_5_multimer_v1_pred_3.pdb,0.001
afm_dropout_noSM_woTemplates_model_3_multimer_v1_pred_0.pdb,0.001
afm_dropout_full_woTemplates_model_3_multimer_v1_pred_3.pdb,0.001
